title,genre,store,ownership,status,rating,hours_played,completion_percentage,priority,date_added,notes,steam_appid
Alien Carnage / Halloween Harry,Unknown,Steam,Owned,Not Started,0,0.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 358280,358280
Hocus Pocus,Unknown,Steam,Owned,Not Started,0,0.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 358290,358290
Major Stryker,Unknown,Steam,Owned,Not Started,0,0.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 358300,358300
Blake Stone: Planet Strike,Unknown,Steam,Owned,Not Started,0,0.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 358310,358310
Realms of Chaos,Unknown,Steam,Owned,Not Started,0,0.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 358320,358320
Pharaoh's Tomb,Unknown,Steam,Owned,Not Started,0,0.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 358330,358330
Word Rescue,Unknown,Steam,Owned,Not Started,0,0.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 358340,358340
Secret Agent,Unknown,Steam,Owned,Not Started,0,0.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 358350,358350
Raptor: Call of the Shadows (1994 Classic Edition),Unknown,Steam,Owned,Not Started,0,0.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 358360,358360
Terminal Velocity: Legacy,Unknown,Steam,Owned,Not Started,0,0.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 358370,358370
Wacky Wheels,Unknown,Steam,Owned,Not Started,0,0.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 358380,358380
Stargunner,Unknown,Steam,Owned,Not Started,0,0.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 358390,358390
Shadow Warrior (Classic),Unknown,Steam,Owned,Not Started,0,0.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 358400,358400
Rise of the Triad: Dark War,Unknown,Steam,Owned,Not Started,0,0.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 358410,358410
Xenophage,Unknown,Steam,Owned,Not Started,0,0.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 358420,358420
Dark Ages,Unknown,Steam,Owned,Not Started,0,0.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 358440,358440
Coast Guard,Unknown,Steam,Owned,In Progress,0,5.6,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 361200,361200
Just Survive Test Server,Unknown,Steam,Owned,Not Started,0,0.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 362300,362300
Clicker Heroes,Unknown,Steam,Owned,In Progress,0,0.2,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 363970,363970
Total War: WARHAMMER,Unknown,Steam,Owned,In Progress,0,125.3,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 364360,364360
Sniper Ghost Warrior 3,Unknown,Steam,Owned,In Progress,0,10.7,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 368070,368070
Super 3-D Noah's Ark,Unknown,Steam,Owned,In Progress,0,5.6,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 371180,371180
TransPlan,Unknown,Steam,Owned,In Progress,0,4.1,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 374410,374410
Defend The Highlands,Unknown,Steam,Owned,In Progress,0,5.6,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 374830,374830
Fallout 4,Unknown,Steam,Owned,In Progress,0,46.5,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 377160,377160
Star Chronicles: Delta Quadrant,Unknown,Steam,Owned,In Progress,0,4.3,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 383330,383330
Flesh Eaters,Unknown,Steam,Owned,In Progress,0,3.8,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 383580,383580
Atonement: Scourge of Time,Unknown,Steam,Owned,In Progress,0,4.6,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 385070,385070
